InvoiceNo,StockCode
12083,10877
50723,18423
38209,32213
7546,12359
28676,12679
51076,12611
43692,10877
57655,34925
26739,12691
10513,12439
34535,12759
17133,12787
41130,12771
28357,32205
7925,18443
25994,10315
52838,33461
14896,18683
20663,12655
26993,12663
37099,12831
22136,18447
20375,12407
30896,46293
8539,10299
50986,18539
14085,10877
37056,18527
41077,12703
26918,33449
35816,12667
59194,12759
29299,18611
11985,12339
53495,54657
49683,12555
33591,32201
23028,12895
1389,12559
38888,47945
23528,10311
55139,12663
33553,32221
6376,12795
54077,32197
51578,12691
36145,10303
53215,10315
50431,10857
35247,10315
3169,10311
26088,47969
46230,10307
48267,12339
10240,12403
57961,54661
1042,12523
19525,12907
27947,12667
47101,12575
38372,18615
59257,18707
36909,10307
8453,12411
26135,10331
14872,12759
59017,18871
52305,12891
16158,12827
59581,12551
6565,12463
43168,18655
35464,10315
41165,10307
12458,12783
59325,12747
1227,18619
12718,12411
51077,12747
30896,12683
55256,10311
8898,12895
22561,10315
30128,12463
28471,34917
4803,12703
58513,18635
21487,12823
8792,12367
22688,32213
16540,33469
31005,18563
13729,12679
41381,12483
33394,10311
20548,12703
51190,10311
5376,12691
49196,12663
26950,12895
8363,33449
27557,10335
33053,18651
52040,12899
33729,18479
48533,12675
17067,12527
58930,12611
42839,12887
22964,12355
22539,10295
20486,12771
46912,12819
28453,32217
34883,12795
14649,12775
36657,33449
8962,12487
47659,12479
6621,33449
55181,10315
58629,12815
24315,10857
1911,12611
19215,34913
53763,12875
26429,12667
32614,12655
35345,10335
57969,54645
36889,12621
17518,33469
40163,18479
51025,18731
17024,12751
38200,12835
59549,12795
11110,35181
57618,18499
33606,32205
12765,35153
25342,12867
50431,35197
37555,12823
54817,12343
30559,46281
40053,32209
3619,10315
42105,12895
5765,12863
43042,47277
35750,12715
43497,10307
53215,12771
51545,12683
35042,18795
23776,18691
53899,51937
14248,46289
58174,10877
12838,12551
23428,12531
9891,12483
43476,12399
9455,12467
36281,34901
52193,18639
36878,34921
15952,35169
52305,12819
46469,18547
20061,10311
35995,34885
4628,12895
43595,12703
39700,18447
45078,48675
7653,46285
12414,10829
37024,12527
21217,34901
38298,12621
41017,47973
53791,33461
38037,20807
9262,12691
3587,12843
31276,12583
1459,12711
1986,12395
1317,12747
52299,12771
7877,12575
8428,12795
34066,10315
44492,12823
49246,12491
27289,10311
34351,18699
23111,12703
58766,12675
54972,18619
45923,47707
36738,47949
33227,12783
41421,47957
54771,48675
35919,12703
42459,18863
34097,33425
14869,10877
54283,47687
13253,12447
50951,12483
27417,12663
29947,12655
33025,48707
52360,12799
31823,12843
56512,48675
46176,34929
8764,12867
50986,18451
58349,12583
26706,12755
18344,12479
5074,12531
13318,12487
2570,12439
14032,30307
51088,12811
14948,12743
927,12747
50903,47957
2356,12527
54172,32205
33898,18443
53484,12535
50440,12663
38308,12643
7235,12843
57851,30311
21009,12691
40976,12875
53454,12687
8999,12487
56228,47945
1106,12783
26577,33449
38786,12621
30035,12807
48219,18511
