InvoiceNo,StockCode
1007,10877
1007,10881
1009,10877
1009,12823
1019,10877
1019,12627
102,10877
102,12487
1034,12399
1034,12443
1034,12559
1034,12563
1034,12627
1034,12751
1034,12847
1034,18423
1034,18855
1032,12515
1032,12627
1032,18423
1036,12835
1036,18423
1039,12443
1039,18423
1054,10877
1054,12727
1048,10877
1048,12699
1044,10877
1044,12571
1065,10877
1065,20807
1085,10841
1085,10845
1085,10877
1085,10881
1085,12299
1085,12327
1085,12331
1085,12335
1085,12339
1085,12347
1085,12351
1085,12367
1085,12371
1085,12375
1085,12395
1085,12399
1085,12403
1085,12407
1085,12411
1085,12415
1085,12419
1085,12423
1085,12427
1085,12431
1085,12435
1085,12439
1085,12443
1085,12447
1085,12451
1085,12503
1085,12507
1085,12511
1085,12515
1085,12519
1085,12547
1085,12551
1085,12555
1085,12567
1085,12579
1085,12583
1085,12587
1085,12595
1084,10877
1084,12895
1083,10307
1083,10877
1074,10877
1074,12895
1139,10833
1139,10853
1139,10861
1139,10877
1139,10881
1139,18855
1131,10877
1131,12559
1127,10877
1127,12663
1150,10311
1150,10877
1141,10829
1141,10833
1141,10837
1141,10841
1141,10845
1141,10849
1141,10869
1141,10877
1141,10881
1141,12547
1141,12551
1141,12555
1141,12559
1141,12563
1141,12567
1141,12571
1141,12575
1141,12579
1141,12583
1141,12591
1141,12595
114,10877
114,12559
1146,10877
1146,12559
1146,12563
1135,10877
1135,12579
1135,12583
1142,10877
1132,10877
1132,12559
1154,10877
1154,12787
1155,10877
1155,12611
1191,10877
1185,10877
1185,12487
1180,10877
1180,12487
1201,10877
1201,12487
1285,18423
1285,18787
1286,12895
1286,18423
1275,12567
1275,18423
1295,12567
1295,18423
129,10303
129,10311
129,10319
129,10323
129,10339
129,10343
129,10829
129,10833
129,10837
129,10841
129,10845
129,10849
129,10853
129,10857
129,10861
129,10865
129,10869
129,10877
129,10881
129,12323
129,12327
129,12331
129,12335
129,12343
129,12347
129,12351
129,12355
129,12431
129,12471
129,12475
129,12487
129,12547
129,12551
129,12555
129,12559
129,12563
129,12567
129,12571
129,12575
129,12579
129,12583
129,12587
129,12591
129,12595
129,12621
129,12647
129,12651
129,12655
129,12659
129,12667
129,12671
129,12679
129,12699
129,12703
129,12711
129,12715
129,12719
129,12735
129,12739
129,12743
129,12759
129,12763
129,12779
129,12799
129,12823
129,12827
129,12835
129,12839
129,12847
129,12851
129,12859
129,12863
129,12867
129,12875
129,12883
129,12887
129,12891
129,12895
13,10877
13,12875
130,10877
130,12551
130,12559
1300,10877
1300,12851
1309,10877
1309,12403
1302,10877
1302,12663
1319,10877
1319,18831
132,10877
132,18871
137,10295
137,10307
137,10311
137,10315
137,10849
137,10877
137,12347
137,12463
137,12487
137,12495
137,12515
137,12523
137,12531
137,12551
137,12567
137,12627
137,12655
137,12691
137,12695
137,12823
137,12831
137,12895
137,12907
137,18511
1368,10311
1368,10315
1368,10877
1367,10315
1367,10877
1367,12487
1367,12895
1376,10295
1376,10307
1376,10311
1376,10877
1436,18423
1436,18691
1443,10849
1443,18423
1444,12715
1444,18423
1446,12463
1446,18423
1463,10829
1463,10833
1463,10837
1463,10841
1463,10845
1463,10853
1463,10869
1463,10877
1463,10881
1463,12503
1463,12507
1463,12511
1463,12515
1463,12519
1463,12547
1463,12551
1463,12555
1463,12559
1463,12567
1463,12571
1463,12575
1463,12579
1463,12583
1463,12587
1463,12591
1463,12595
1466,10877
1466,12583
1466,12683
1457,10877
1457,12835
147,10877
147,12591
1487,10877
1487,12411
1487,12487
1487,12663
1487,12675
1487,12687
1487,12723
1487,12727
1487,12783
1492,10877
1492,12727
1479,10877
1479,12679
1479,12687
1497,10877
1497,12683
1497,12687
1528,12395
1528,12419
1528,12531
1528,12727
1528,12731
1528,12751
1528,12771
1528,18423
1528,18639
1528,18651
1528,18831
1529,12463
1529,18423
1539,12559
1539,18423
154,10315
154,18423
153,18423
153,18427
153,18431
153,18443
153,18447
153,18451
153,18455
153,18459
153,18511
153,18515
153,18519
153,18527
153,18535
153,18539
153,18543
153,18551
153,18555
153,18559
153,18563
153,18567
153,18571
153,18575
153,18579
153,18595
153,18603
153,18615
153,18619
153,18627
153,18631
153,18635
153,18639
153,18643
153,18647
153,18651
153,18655
153,18659
153,18663
153,18675
153,18683
153,18691
153,18695
153,18699
153,18703
153,18707
153,18711
153,18715
153,18719
153,18723
153,18727
153,18731
153,18735
153,18743
153,18747
153,18751
153,18755
153,18759
153,18763
153,18767
153,18795
153,18799
153,18807
153,18847
153,18855
153,20807
153,27385
153,27389
1530,10865
1530,18423
1534,18423
1534,18635
1534,20807
1541,12419
1541,18423
1538,10829
1538,10833
1538,10837
1538,10841
1538,10845
1538,10853
1538,10857
1538,10861
1538,10865
1538,10869
1538,10877
1538,10881
1538,12863
1547,10877
1547,12663
1521,10877
1521,12775
1552,10877
1552,12895
1543,10877
1543,12567
1543,18723
1543,18787
1546,10877
1546,12567
1532,10877
1532,12655
1550,10877
1550,12567
1550,12687
1639,18423
164,12431
164,18423
1646,10849
1646,18423
163,18423
163,18639
1655,18423
